user,song_list,song_sentiment
josh,"rocket -> def leppard,dancing with a stranger (with normani) - cheat codes remix -> sam smith,alone -> marshmello,trap paris (feat. quavo & ty dolla $ign) -> machine gun kelly,dancing with a stranger (with normani) - cheat codes remix -> sam smith,alone -> alan walker,how do you sleep? -> sam smith,payphone -> maroon 5,what lovers do (feat. sza) -> maroon 5,don't wanna know -> maroon 5,romeo and juliet -> dire straits,i'm in love with my car - remastered 2011 -> queen,i'm in love with my car - remastered 2011 -> queen,we are the champions -> queen,let me entertain you - remastered 2011 -> queen,rude -> magic!,fire burning -> sean kingston,beautiful girls -> sean kingston,it wasn't me -> shaggy,i wanna love you -> akon,livin' on a prayer -> bon jovi,perfect -> ed sheeran,galway girl -> ed sheeran,romeo and juliet -> dire straits","Negative,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Positive,Positive,Negative,Positive"
stark,"crazy little thing called love - remastered 2011 -> queen,we will rock you - remastered -> queen,hey soul sister -> train,hey soul sister -> train,ayo -> chris brown,loyal -> chris brown","Positive,Negative,Positive,Positive,Negative,Negative"
Risha,"don't wanna know -> maroon 5,dancing with a stranger (with normani) - cheat codes remix -> sam smith","Positive,Positive"
jess,walk of life -> dire straits,Positive
lisa,"janie's got a gun - single version -> aerosmith,changes -> 2pac,we will rock you - remastered -> queen","Negative,Negative,Negative"
messi,"do i wanna know? -> arctic monkeys,r u mine (stelouse remix) -> rozes,toxicity -> system of a down","Positive,Negative,Negative"
TanManTheSuperman,"mr. blue sky -> electric light orchestra,take me home country roads - rerecorded -> john denver","Positive,Positive"
pamela,child in your arms (capital kings remix) [feat. aaron cole] -> ryan stevenson,Positive
risha,too good at goodbyes -> sam smith,Negative
rocketman,dancing with a stranger (with normani) - cheat codes remix -> sam smith,Positive
